jkennedy1,301,C56021,Janet,Kennedy,jkennedy@anycompany.com,New York,US,Marketing,,Director of Marketing,,80300,krhodes,3,TRUE,Full Time,0,C56004,803
jlynch1,302,C56022,Janice,Lynch,jlynch@anycompany.com,Los Angeles,US,Marketing,,Director of Marketing,,80300,krhodes,3,TRUE,Full Time,0,C56004,803
thopkins1,303,C56023,Tina,Hopkins,thopkins@anycompany.com,Los Angeles,US,Marketing,,Director of Marketing,,80300,krhodes,3,TRUE,Contractor,0,C56004,803
plucas1,304,C56024,Patrick,Lucas,plucas@anycompany.com,Munich,EMEA,Marketing,,Director of Marketing,,80300,krhodes,3,TRUE,Full Time,0,C56004,803
jharding1,305,C56025,James,Harding,jharding@anycompany.com,Munich,EMEA,Marketing,,Director of Marketing,,80300,krhodes,3,TRUE,Full Time,0,C56004,803
jcraig1,501,C56031,Jonathan,Craig,jcraig@anycompany.com,Boston,US,Sales,,Director of Sales,,90300,jshinn,3,TRUE,Full Time,0,C56006,903
smcconnell1,502,C56032,Stephanie,Mcconnell,smcconnell@anycompany.com,Los Angeles,US,"Information Technology, P&T",,Director of Sales,,90300,jshinn,3,TRUE,Contractor,0,C56006,903
jfuentes1,503,C56033,Juan,Fuentes,jfuentes@anycompany.com,Los Angeles,US,Sales,,Director of Sales,,90300,jshinn,3,TRUE,Full Time,0,C56006,903
bmcbride1,504,C56034,Bill,McBride,bmcbride@anycompany.com,Chicago,US,Sales,,Director of Sales,,90300,jshinn,3,TRUE,Full Time,1,C56006,903
jthompson1,505,C56035,Joyce,Thompson,jthompson@anycompany.com,Dublin,EMEA,Sales,,Director of Sales,,90300,jshinn,3,TRUE,Full Time,0,C56006,903
jhess1,8013,C56173,Jacqueline,Hess,jhess@anycompany.com,Munich,EMEA,Customer Support,,Customer Support Manager,,20400,cbauer,4,FALSE,Full Time,0,C56050,204
